Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
New York Rangers,1993,52,24,,0.619,299,231,68
New Jersey Devils,1993,47,25,,0.56,306,220,86
Detroit Red Wings,1993,46,30,,0.548,356,275,81
Pittsburgh Penguins,1993,44,27,,0.524,299,285,14
Toronto Maple Leafs,1993,43,29,,0.512,280,243,37
Buffalo Sabres,1993,43,32,,0.512,282,218,64
Dallas Stars,1993,42,29,,0.5,286,265,21
Calgary Flames,1993,42,29,,0.5,302,256,46
Boston Bruins,1993,42,29,,0.5,289,252,37
Vancouver Canucks,1993,41,40,,0.488,279,276,3
Montreal Canadiens,1993,41,29,,0.488,283,248,35
St. Louis Blues,1993,40,33,,0.476,270,283,-13
Chicago Blackhawks,1993,39,36,,0.464,254,240,14
Washington Capitals,1993,39,35,,0.464,277,263,14
New York Islanders,1993,36,36,,0.429,282,264,18
Philadelphia Flyers,1993,35,39,,0.417,294,314,-20
Quebec Nordiques,1993,34,42,,0.405,277,292,-15
San Jose Sharks,1993,33,35,,0.393,252,265,-13
Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22
Florida Panthers,1993,33,34,,0.393,233,233,0
Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27
Los Angeles Kings,1993,27,45,,0.321,294,322,-28
Hartford Whalers,1993,27,48,,0.321,227,288,-61
Edmonton Oilers,1993,25,45,,0.298,261,305,-44
Winnipeg Jets,1993,24,51,,0.286,245,344,-99
Ottawa Senators,1993,14,61,,0.167,201,397,-196
